id,lnannualrt,exper,tenure,female,hours_cat,ethnicgrp_cat,ratingfill_cat,hosp_cat,jobfunc_cat,jobsubfunc_cat,year,annualrt
84886,10.49123383,31.60821915,0.986301363,1,1,WHITE,KC,Hospital B,Finance,Other,2015,35998.54593
90933,10.54154491,43.48493195,13.01095867,1,1,BLACK,KC,Hospital C,Finance,Other,2015,37856.00558
39319,10.58613968,30.69314957,0.410958916,0,1,WHITE,NA,HQ,Finance,Other,2015,39582.39307
89986,10.83224392,28.94246674,13.98082161,1,1,BLACK,KC,HQ,Finance,Subject Ma,2015,50627.18274
61689,10.90090847,45.72602844,5.161643982,1,1,BLACK,RM,Hospital C,Finance,Subject Ma,2015,54225.60377
55817,10.45852184,8.701370239,1.082191825,1,1,BLACK,KC,HQ,Finance,Other,2015,34840.01435
92131,10.53215981,44.42739868,0.200000003,1,1,MULTI,NA,HQ,Finance,Other,2015,37502.38483
91723,10.63585567,33.86027527,26.26301384,1,1,BLACK,KC,HQ,Finance,Other,2015,41600.00951
53594,10.71189022,39.75068665,23.52054787,1,1,HISPA,KC,HQ,Finance,Other,2015,44886.40396
52549,10.43496227,33.03287506,4.476712227,1,1,WHITE,KC,HQ,Finance,Other,2015,34028.79213
36161,12.00309467,33.07123184,10.37808228,0,1,WHITE,KC,HQ,Finance,Management,2015,163259.2445
57980,10.53437614,36.3890419,7.558904171,1,1,WHITE,KC,HQ,Finance,Other,2015,37585.59501
78145,10.82067394,46.4630127,16.91506767,1,1,WHITE,KC,Hospital A,Finance,Coders,2015,50044.80297
47251,10.87565994,16.62739563,3.671232939,1,1,WHITE,KC,HQ,Finance,Subject Ma,2015,52873.62666
84134,10.61870956,35.10684967,10.15342426,1,1,BLACK,RM,Hospital B,Finance,Other,2015,40892.81132
88749,10.26985168,29.44657516,1.408219218,1,0,BLACK,KC,Hospital B,Finance,Other,2015,28849.60801
82010,10.29898357,9.150684357,0.501369834,1,1,BLACK,NA,HQ,Finance,Other,2015,29702.4132
40810,10.31427193,9.139726639,0.526027381,1,1,MULTI,NA,Hospital A,Finance,Other,2015,30160.00316
64168,11.49726772,21.54520416,10.05753422,1,1,WHITE,KC,HQ,Finance,Management,2015,98446.42033
84157,10.54209423,17.89862823,0.046575341,0,1,WHITE,NA,HQ,Finance,Other,2015,37876.80622
78369,10.48445129,36.3890419,0.816438377,1,1,WHITE,NA,HQ,Finance,Other,2015,35755.21079
73416,10.57875538,36.8821907,16.19452095,1,1,BLACK,NA,HQ,Finance,Other,2015,39291.18132
72941,10.7035141,21.00547791,20.18356133,0,1,BLACK,KC,Hospital C,Finance,Other,2015,44512.0002
62242,10.40329266,14.52876663,8.35068512,1,1,BLACK,KC,HQ,Finance,Other,2015,32967.99944
75720,10.84164906,38.28767014,1.416438341,1,1,BLACK,KC,Hospital A,Finance,Coders,2015,51105.58448
87022,10.37902546,26.81095886,14.16164398,1,1,BLACK,KC,Hospital A,Finance,Other,2015,32177.58784
43703,10.50055122,8.358903885,0.12328767,1,1,WHITE,NA,HQ,Finance,Other,2015,36335.52616
83272,10.38995457,3.145204544,0.852054775,1,1,BLACK,KC,HQ,Finance,Other,2015,32531.18891
39531,11.38797855,17.15616608,8.139725685,1,1,BLACK,KC,HQ,Finance,Subject Ma,2015,88254.37545
92282,10.41956329,43.91233063,17.80547905,1,1,WHITE,KC,HQ,Finance,Other,2015,33508.79744
52850,11.51174068,15.98356247,0.643835604,1,1,WHITE,NA,Hospital A,Finance,Management,2015,99881.59211
79209,10.85899925,37.95616531,9.136986732,1,1,ASIAN,KC,Hospital A,Finance,Coders,2015,52000.01325
88578,10.9422369,33.8575325,27.12602806,1,1,WHITE,KC,Hospital C,Finance,Other,2015,56513.61719
70977,10.37837887,6.323287964,0.353424668,1,1,BLACK,NA,HQ,Finance,Other,2015,32156.78882
51757,11.31566429,46.41918182,24.4136982,1,1,WHITE,RM,Hospital D,Finance,Coders,2015,82097.6188
49672,10.60694122,42.4931488,14.87123299,1,1,WHITE,RM,Hospital A,Finance,Other,2015,40414.39139
84245,10.38096333,8.767124176,1.597260237,1,1,BLACK,KC,HQ,Finance,Other,2015,32240.00416
47386,10.49544334,15.61643982,7.756164551,1,1,WHITE,RM,HQ,Finance,Other,2015,36150.40186
92209,11.0413208,35.76712418,0.449315071,1,1,BLACK,NA,Hospital A,Finance,Subject Ma,2015,62400.01538
60131,10.29547596,26.37534332,0.526027381,1,1,BLACK,NA,Hospital A,Finance,Other,2015,29598.4111
51097,10.52436543,17.15616608,0.391780823,1,1,BLACK,NA,HQ,Finance,Other,2015,37211.21321
41775,10.61361027,30.41917801,0.813698649,1,1,WHITE,NA,HQ,Finance,Other,2015,40684.81751
90066,10.79157639,30.86575317,12.09315109,1,1,WHITE,RM,HQ,Finance,Subject Ma,2015,48609.60312
36422,10.60384846,28.87123108,3.767123222,1,1,WHITE,KC,Hospital B,Finance,Other,2015,40289.59223
65913,11.68001175,49.02191925,24.74246597,0,1,WHITE,KC,HQ,Finance,Management,2015,118185.6237
44636,10.66054821,34.56712341,0.293150693,1,1,HISPA,NA,Hospital A,Finance,Other,2015,42640.00645
66014,10.5776968,45.13150787,7.558904171,1,1,BLACK,RM,HQ,Finance,Other,2015,39249.61053
51818,10.4454813,41.1178093,22.15342522,1,1,WHITE,KC,HQ,Finance,Other,2015,34388.6312
51670,10.5119915,21.52054977,7.353424549,1,1,WHITE,KC,HQ,Finance,Other,2015,36753.60154
68227,10.60488033,16.78630066,2.731506824,1,1,BLACK,KC,HQ,Finance,Other,2015,40331.18754
51827,10.48445129,14.90958786,9.789041519,1,1,BLACK,KC,HQ,Finance,Other,2015,35755.21079
89221,10.11951447,20.95068359,0.96712327,1,0,WHITE,NA,Hospital B,Finance,Other,2015,24822.71562
39341,10.34550285,7.964384079,1.082191825,1,1,WHITE,KC,HQ,Finance,Other,2015,31116.79092
44926,10.38096333,17.13972473,1.347945213,0,1,BLACK,NA,Hospital B,Finance,Other,2015,32240.00416
78761,10.66977406,15.03287506,5.008219242,1,1,BLACK,KC,HQ,Finance,Other,2015,43035.21683
80960,10.55084229,32.04109573,3.82465744,1,1,ASIAN,BE,HQ,Finance,Other,2015,38209.60815
59564,10.36535835,8.315069199,1.04383564,1,1,BLACK,KC,HQ,Finance,Other,2015,31740.80489
58984,10.42821598,8.320547104,1.660274029,1,1,BLACK,KC,HQ,Finance,Other,2015,33799.99659
44118,10.39632797,9.071233749,3.690410852,1,1,BLACK,KC,HQ,Finance,Other,2015,32739.18549
88728,10.70491505,26.83835602,4.323287487,1,1,WHITE,KC,Hospital C,Finance,Coders,2015,44574.40288
54218,11.11519051,27.38082123,12.53150654,1,1,WHITE,KC,Hospital A,Finance,Subject Ma,2015,67184.00692
47785,11.553545,26.49589157,1.120547891,0,1,WHITE,RM,HQ,Finance,Management,2015,104145.5791
48621,10.35083675,32.05753326,13.18356133,1,1,WHITE,KC,Hospital A,Finance,Other,2015,31283.20822
70738,10.43984032,17.41643906,2.060273886,1,1,WHITE,KC,HQ,Finance,Other,2015,34195.1916
69777,10.80433178,23.66027451,4.323287487,1,1,BLACK,RM,HQ,Finance,Subject Ma,2015,49233.60902
73421,10.84002018,32.8821907,0.852054775,1,1,WHITE,BE,HQ,Finance,Coders,2015,51022.40759
60328,10.85899925,49.12876892,6.276712418,1,1,BLACK,KC,HQ,Finance,Subject Ma,2015,52000.01325
89096,10.31012535,8.315069199,0.353424668,1,1,WHITE,NA,HQ,Finance,Coders,2015,30035.20135
48846,10.93895531,35.79178238,16.76986313,1,1,WHITE,RM,HQ,Finance,Subject Ma,2015,56328.46644
68875,10.44166374,44.13150787,0.660273969,1,1,WHITE,NA,HQ,Finance,Other,2015,34257.60086
43825,10.26985168,17.50410843,7.353424549,1,1,WHITE,KC,Hospital A,Finance,Other,2015,28849.60801
40799,10.9665966,26.61917877,8.657534599,1,1,BLACK,RM,HQ,Finance,Subject Ma,2015,57907.17656
69723,10.50346661,30.08493042,3.460273981,0,1,WHITE,KC,HQ,Finance,Other,2015,36441.61268
91786,11.23579025,30.15616608,11.01643848,1,1,WHITE,KC,HQ,Finance,Subject Ma,2015,75795.20058
40409,10.38675308,23.64657593,0.750684917,1,1,BLACK,KC,HQ,Finance,Other,2015,32427.20735
45715,10.54264355,18.44657516,2.616438389,1,1,WHITE,KC,HQ,Finance,Other,2015,37897.61829
80161,10.87565994,26.83835602,8.753424644,1,1,WHITE,BE,HQ,Finance,Coders,2015,52873.62666
84706,11.28059959,32.8821907,15.77260303,1,1,WHITE,KC,HQ,Finance,Subject Ma,2015,79268.77674
41049,10.72157383,41.91506958,26.26301384,1,1,ASIAN,KC,HQ,Finance,Other,2015,45323.1777
76675,10.09199047,7.128767014,0.775342464,1,1,BLACK,NA,Hospital A,Finance,Other,2015,24148.81213
48641,10.27918053,23.76712418,3.306849241,1,1,WHITE,BE,Hospital B,Finance,Other,2015,29120.00071
66677,10.53437614,45.56164551,0.200000003,1,1,BLACK,NA,Hospital A,Finance,Other,2015,37585.59501
56379,11.43471336,40.93698502,17.55616379,1,1,WHITE,KC,Hospital A,Finance,Coders,2015,92476.82612
56801,10.75585842,44.43287659,28.54520607,1,1,MULTI,RM,Hospital A,Finance,Other,2015,46904.00857
38400,10.33136654,6.45479393,3.095890522,1,1,BLACK,KC,Hospital A,Finance,Other,2015,30680.0087
84719,10.20199108,16.31781006,2.942465782,1,1,WHITE,KC,Hospital A,Finance,Other,2015,26956.80587
63598,10.80770588,26.63835526,5.28493166,1,1,WHITE,KC,Hospital A,Finance,Coders,2015,49400.0087
59785,10.31427193,32.27397156,5.167123318,1,1,BLACK,KC,HQ,Finance,Other,2015,30160.00316
92242,10.41520882,21.69314957,0.331506848,1,1,BLACK,NA,HQ,Finance,Other,2015,33363.20138
77356,10.53049469,17.56438446,3.189041138,1,1,BLACK,KC,Hospital B,Finance,Other,2015,37439.99099
70350,11.14718056,33.72602844,3.013698578,1,1,WHITE,KC,HQ,Finance,Subject Ma,2015,69367.9731
56173,11.23579025,31.90958786,6.076712132,1,1,WHITE,KC,HQ,Finance,Coders,2015,75795.20058
42196,10.55572987,24.6109581,3.939726114,1,1,WHITE,KC,Hospital A,Finance,Other,2015,38396.81783
68382,10.39505672,10.09315109,0.430136979,1,1,BLACK,NA,HQ,Finance,Other,2015,32697.59231
36141,11.08214283,22.43287659,4.783561707,1,1,WHITE,KC,HQ,Finance,Subject Ma,2015,65000.01827
80543,10.54975319,27.32328796,3.939726114,1,1,WHITE,KC,HQ,Finance,Other,2015,38168.01687
41363,11.19803905,38.68218994,24.4136982,1,1,ASIAN,KC,Hospital C,Finance,Subject Ma,2015,72987.17756
78008,10.41002083,30.06027222,0.430136979,1,1,BLACK,NA,HQ,Finance,Other,2015,33190.5617
76379,10.44771671,3.145204544,3.057534218,1,1,WHITE,KC,Hospital C,Finance,Other,2015,34465.58996
40871,10.20060062,8.383562088,1.350684881,1,1,BLACK,KC,Hospital B,Finance,Other,2015,26919.34963
89131,11.26739311,23.58904266,16.84657478,1,1,WHITE,KC,HQ,Finance,Coders,2015,78228.79742
73024,10.50915813,13.95890427,6.230136871,1,1,WHITE,KC,HQ,Finance,Other,2015,36649.61251
73655,10.55084229,23.06301498,2.463013649,1,1,BLACK,RM,HQ,Finance,Other,2015,38209.60815
50953,10.86418533,16.04109573,0.238356158,1,1,WHITE,NA,HQ,Finance,Subject Ma,2015,52270.39002
67501,10.2050724,5.690410614,0.328767121,1,1,WHITE,NA,HQ,Finance,Other,2015,27039.99656
74244,11.35637474,13.64931488,0.219178081,1,1,WHITE,NA,HQ,Finance,Subject Ma,2015,85508.81428
58286,10.4127121,24.77534103,1.542465806,1,1,BLACK,KC,HQ,Finance,Other,2015,33280.00673
77466,10.68749905,32.24383545,18.15068436,1,1,WHITE,RM,HQ,Finance,Other,2015,43804.81607
75703,10.26985168,23.76712418,9.361643791,1,0,WHITE,KC,Hospital B,Finance,Other,2015,28849.60801
68246,10.95139599,20.07945251,5.915068626,1,1,ASIAN,KC,HQ,Finance,Subject Ma,2015,57033.60808
88056,10.34550285,9.816438675,8.35068512,1,1,BLACK,KC,HQ,Finance,Other,2015,31116.79092
44226,10.43740463,21.84383392,7.331506729,1,1,BLACK,KC,HQ,Finance,Other,2015,34112.00427
54150,10.2611618,7.315069199,0.230136991,1,0,WHITE,NA,Hospital A,Finance,Other,2015,28599.99449
69429,10.5023241,28.26849365,6.91232872,0,1,WHITE,KC,Hospital A,Finance,Other,2015,36400.00184
50671,10.31427193,9.158905029,11.55342484,1,1,WHITE,RM,HQ,Finance,Other,2015,30160.00316
38905,10.75718784,16.73972702,3.172602654,1,1,WHITE,KC,HQ,Finance,Other,2015,46966.40526
47821,11.12963676,22.58904266,9.117808342,1,1,WHITE,KC,HQ,Finance,Subject Ma,2015,68161.6088
83114,10.4838686,37.8821907,2.789041042,1,1,BLACK,KC,HQ,Finance,Other,2015,35734.38248
53007,10.49123383,16.64931488,7,1,1,ASIAN,KC,HQ,Finance,Other,2015,35998.54593
86526,10.85136986,43.71506882,0.334246576,1,1,ASIAN,NA,Hospital A,Finance,Coders,2015,51604.79419
81727,10.55681229,25.76986313,4.994520664,1,1,WHITE,RM,HQ,Finance,Other,2015,38438.40182
51940,10.4288311,27.94246674,0.035616439,1,1,BLACK,NA,Hospital A,Finance,Other,2015,33820.79404
60166,11.31566429,33.72602844,40.34794617,1,1,WHITE,KC,HQ,Finance,Subject Ma,2015,82097.6188
75461,10.68226147,7.449314117,0.12328767,1,1,WHITE,NA,HQ,Finance,Coders,2015,43575.98466
80481,10.57822609,16.62739563,2.789041042,1,1,WHITE,KC,Hospital A,Finance,Other,2015,39270.39042
70307,10.47803116,24.77534103,18.41917801,1,1,WHITE,KC,HQ,Finance,Other,2015,35526.3928
68696,10.63835239,36.44109726,31.11506844,1,1,WHITE,BE,HQ,Finance,Other,2015,41704.00282
91126,10.28842354,5.690410614,0.583561659,1,1,BLACK,NA,HQ,Finance,Other,2015,29390.40496
76631,10.51819706,19.49589157,3.652054787,1,1,BLACK,KC,HQ,Finance,Other,2015,36982.38731
45029,11.51174068,41.57534409,16.65205574,1,1,WHITE,KC,HQ,Finance,Management,2015,99881.59211
38480,11.19803905,5.627397537,1.871232867,1,1,WHITE,BE,HQ,Finance,Management,2015,72987.17756
73736,10.31427193,8.567123413,1.350684881,1,1,BLACK,KC,HQ,Finance,Other,2015,30160.00316
69266,10.37058735,6.950685501,2.994520664,1,1,HISPA,KC,HQ,Finance,Other,2015,31907.21213
47756,10.39696312,30.80548096,7.353424549,1,1,BLACK,KC,HQ,Finance,Other,2015,32759.98629
58468,10.58928776,42.23287582,0.816438377,1,1,WHITE,NA,Hospital A,Finance,Other,2015,39707.19791
84842,10.48561382,28.16438293,7.353424549,1,1,WHITE,RM,HQ,Finance,Other,2015,35796.80143
86335,11.19775391,29.43561554,1.312328815,0,1,BLACK,KC,HQ,Finance,Subject Ma,2015,72966.36834
56235,10.36993504,29.71506882,11.26575375,0,1,WHITE,RM,HQ,Finance,Other,2015,31886.40542
80178,10.31427193,5.43561554,0.276712328,1,1,BLACK,NA,HQ,Finance,Other,2015,30160.00316
72919,10.21882343,12.3643837,3.345205545,1,0,BLACK,NA,Hospital B,Finance,Other,2015,27414.39263
49409,10.38418388,41.03287506,32.9753418,1,0,BLACK,KC,Hospital D,Finance,Other,2015,32344.00234
57452,10.62933445,49.02191925,28.25753403,1,1,HISPA,KC,Hospital A,Finance,Other,2015,41329.60911
40065,11.65271568,38.44657516,16.49863052,0,1,WHITE,BE,HQ,Finance,Management,2015,115003.2517
80612,10.61870956,12.77260208,9.482192039,1,1,WHITE,KC,Hospital A,Finance,Other,2015,40892.81132
76324,10.31840134,7.665754318,0.468493164,1,1,BLACK,NA,HQ,Finance,Coders,2015,30284.80367
75440,10.39696312,27.73698807,2.997260332,1,1,BLACK,KC,HQ,Finance,Other,2015,32759.98629
49901,10.31771374,14.00547791,5.567123413,1,1,BLACK,KC,Hospital D,Finance,Other,2015,30263.98702
79979,11.02315617,36.44109726,13.73972607,1,1,ASIAN,KC,HQ,Finance,Subject Ma,2015,61276.77441
54392,10.25532722,8.567123413,1.189041138,1,1,BLACK,KC,Hospital A,Finance,Other,2015,28433.61141
67404,10.34817314,14.2465744,8.783561707,1,1,WHITE,KC,Hospital D,Finance,Other,2015,31199.99275
69207,10.55084229,12.65479469,1.082191825,1,1,WHITE,KC,Hospital A,Finance,Other,2015,38209.60815
82066,11.1154995,31.73150635,3.939726114,1,1,WHITE,KC,HQ,Finance,Coders,2015,67204.76935
65327,11.38112068,38.61643982,17.08219147,1,1,WHITE,KC,Hospital D,Finance,Coders,2015,87651.20883
43012,11.15435123,27.17808151,8.15068531,1,1,BLACK,KC,HQ,Finance,Management,2015,69867.17611
44137,10.52436543,18.77260208,0.410958916,1,1,WHITE,KC,HQ,Finance,Other,2015,37211.21321
63617,10.66880703,50.20822144,21.8520546,1,1,WHITE,KC,HQ,Finance,Other,2015,42993.62078
57112,11.51215744,37.02739716,24.30958939,1,0,WHITE,RM,Hospital A,Finance,Management,2015,99923.22701
56354,10.58928776,28.94246674,0.221917808,1,1,WHITE,NA,Hospital C,Finance,Other,2015,39707.19791
89328,11.35125351,16.01369858,4.726027489,0,1,WHITE,KC,HQ,Finance,Subject Ma,2015,85072.02329
54756,10.40266132,39.93698502,22.15342522,1,0,BLACK,KC,Hospital B,Finance,Other,2015,32947.19224
37971,10.46388054,14.90958786,0.161643833,1,1,BLACK,NA,HQ,Finance,Other,2015,35027.21252
90953,10.84408855,61.65205383,12.45479488,1,1,WHITE,KC,Hospital A,Finance,Subject Ma,2015,51230.40869
72072,10.87801743,37.95616531,17.90136909,1,1,BLACK,KC,Hospital A,Finance,Coders,2015,52998.42237
72431,10.63835239,34.56712341,33.60548019,1,1,WHITE,RM,Hospital A,Finance,Other,2015,41704.00282
39334,11.23579025,8.665754318,0.12328767,1,1,WHITE,NA,HQ,Finance,Subject Ma,2015,75795.20058
67247,10.84408855,46.43287659,10.61095905,1,1,WHITE,KC,HQ,Finance,Subject Ma,2015,51230.40869
49299,10.65271282,57.76438141,12.94794559,1,1,BLACK,KC,Hospital B,Finance,Other,2015,42307.21094
82539,11.50001049,35.4137001,17.57534218,1,1,WHITE,KC,HQ,Finance,Management,2015,98716.80659
89912,10.93965721,43.86301422,11.09315109,1,1,BLACK,KC,HQ,Finance,Subject Ma,2015,56368.01751
49941,10.39823246,49.38356018,41.79452133,1,1,BLACK,BE,HQ,Finance,Other,2015,32801.59627
82936,10.71327972,6.419178009,2.558904171,1,1,BLACK,KC,Hospital A,Finance,Subject Ma,2015,44948.81712
58626,10.85899925,10.94794464,0.717808247,1,1,WHITE,NA,Hospital B,Finance,Coders,2015,52000.01325
55358,10.3017807,13.03287697,0.501369834,1,1,BLACK,NA,Hospital C,Finance,Other,2015,29785.61092
43249,10.36993504,11.17534256,5.339725971,1,1,BLACK,KC,HQ,Finance,Other,2015,31886.40542
70889,10.36797619,13.11780739,5.397260189,1,1,WHITE,KC,HQ,Finance,Other,2015,31824.00597
70767,10.58928776,35.4931488,1.843835592,1,1,BLACK,BE,HQ,Finance,Other,2015,39707.19791
48925,10.22788715,33.60821915,5.090411186,1,1,WHITE,KC,Hospital A,Finance,Other,2015,27663.9985
78197,10.67795658,22.72328949,7.295890331,1,1,BLACK,KC,HQ,Finance,Other,2015,43388.79821
53769,10.59294796,30.94520569,4.4383564,1,1,WHITE,KC,Hospital C,Finance,Other,2015,39852.80058
62018,10.64134026,28.85479355,0.909589052,1,1,WHITE,RM,Hospital C,Finance,Other,2015,41828.79495
89537,10.58508873,21.82465744,13.66301346,1,1,BLACK,RM,Hospital A,Finance,Other,2015,39540.81584
70293,10.5562706,6.452054977,1.082191825,1,1,BLACK,KC,HQ,Finance,Other,2015,38417.58588
63970,10.91159153,13.97260284,0.526027381,1,1,BLACK,NA,HQ,Finance,Subject Ma,2015,54808.0045
39387,10.54209423,36.44109726,8.361643791,1,1,BLACK,RM,Hospital D,Finance,Other,2015,37876.80622
53913,10.46447372,13.38356209,2.830137014,1,1,BLACK,KC,HQ,Finance,Other,2015,35047.99632
69729,10.30596161,4.646575928,5.128767014,0,1,WHITE,NA,Hospital A,Finance,Other,2015,29910.40251
57204,10.54264355,36.39451981,9.750684738,1,1,BLACK,KC,HQ,Finance,Other,2015,37897.61829
90073,10.35349274,10.68219185,3.095890522,1,1,BLACK,BE,HQ,Finance,Other,2015,31366.40632
79449,11.65271568,40.23561478,12.16438389,1,1,WHITE,KC,Hospital D,Finance,Coders,2015,115003.2517
54308,10.39505672,36.77260208,29.09863091,1,0,BLACK,KC,Hospital B,Finance,Other,2015,32697.59231
78007,10.54264355,46.43287659,9.183561325,1,1,BLACK,KC,HQ,Finance,Other,2015,37897.61829
37009,10.54209423,38.88492966,5.564383507,1,1,WHITE,RM,HQ,Finance,Other,2015,37876.80622
